arg_struc_cxn	roleset	lemma
arg1(np)-arg0(np)-v(v)-arg2(pp)	characterize.01	characterize
arg0(np)-v(v)-arg1(np)-arg2(pp)	throw.01	throw
arg0(np)-v(v)-arg1(np)-arg2(pp)	administer.01	administer
arg0(np)-v(v)-arg1(np)-arg2(pp)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(jj)	declare.01	declare
arg0(np)-v(v)-arg2(pp)-arg1(np)	excuse.01	excuse
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	urge.01	urge
arg0(np)-v(v)-arg1(np)-arg2(pp)	provide.01	provide
arg0(np)-v(v)-arg1(np)-arg2(pp)	make.05	make
arg0(np)-v(v)-arg1(np)-arg2(pp)	enhance.01	enhance
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	spend.02	spend
arg0(np)-v(v)-arg1(np)-arg2(pp)	name.01	name
arg0(np)-v(v)-arg2(np)-arg1(np)	award.01	award
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	examine.01	examine
arg0(np)-v(v)-arg1(np)-arg2(advp)	put.03	put
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	spend.02	spend
arg0(np)-v(v)-arg1(np)-arg2(pp)	discuss.01	discuss
arg0(np)-v(v)-arg1(np)-arg2(pp)	lord.01	lord
arg0(np)-v(v)-arg2(np)-arg1(np)	do.02	do
arg0(np)-v(v)-arg2(np)-arg1(np)	do.02	do
arg0(np)-v(v)-arg1(np)-arg2(sbar)	take.04	take
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	employ.02	employ
arg0(np)-v(v)-arg1(np)-arg2(pp)	use.01	use
arg0(np)-v(v)-arg1(np)-arg2(pp)	flash.01	flash
arg0(np)-v(v)-arg1(np)-arg2(pp)	sign.02	sign
arg0(np)-v(v)-arg1(np)-arg2(pp)	sell.01	sell
arg0(np)-v(v)-arg1(np)-arg2(pp)	send.01	send
arg0(np)-v(v)-arg1(c("np", "np"))-arg2(pp)	finagle.01	finagle
arg0(np)-v(v)-arg1(np)-arg2(pp)	send.01	send
v(v)-arg1(np)-arg2(pp)-arg0(np)	get.05	get
arg0(np)-v(v)-arg1(np)-arg2(np)	allow.02	allow
arg0(np)-v(v)-arg2(pp)-arg1(np)	redefine.01	redefine
arg0(np)-v(v)-arg1(np)-arg2(pp)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	raise.01	raise
arg0(np)-v(v)-arg1(np)-arg2(rb)	drive.02	drive
arg0(np)-v(v)-arg1(np)-arg2(pp)	drive.02	drive
arg0(np)-v(v)-arg1(np)-arg2(pp)	clear.01	clear
arg0(np)-v(v)-arg1(np)-arg2(vp)	name.01	name
arg0(np)-v(v)-arg1(np)-arg2(advp)	restate.02	restate
arg0(np)-v(v)-arg1(np)-arg2(pp)	exceed.01	exceed
arg0(np)-v(v)-arg1(np)-arg2(pp)	build.01	build
arg0(np)-v(v)-arg1(np)-arg2(pp)	buy.01	buy
arg0(np)-v(v)-arg1(np)-arg2(pp)	provide.01	provide
arg0(np)-v(v)-arg1(np)-arg2(pp)	merge.01	merge
arg0(np)-v(v)-arg1(np)-arg2(pp)	lock.01	lock
arg0(np)-v(v)-arg1(np)-arg2(pp)	seek.01	seek
arg0(np)-v(v)-arg1(np)-arg2(vp)	prompt.02	prompt
arg1(np)-arg0(np)-v(v)-arg2(pp)	learn.01	learn
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	persuade.01	persuade
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use.01	use
arg1(np)-arg0(np)-v(v)-arg2(pp)	solve.01	solve
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	urge.01	urge
arg0(np)-v(v)-arg1(np)-arg2(pp)	view.02	view
arg0(np)-v(v)-arg2(rp)-arg1(np)	shove.01	shove
arg0(np)-v(v)-arg1(np)-arg2(pp)	sell.01	sell
arg0(np)-v(v)-arg1(np)-arg2(vp)	lead.03	lead
arg0(np)-v(v)-arg1(np)-arg2(pp)	drive.02	drive
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	spend.02	spend
arg0(np)-v(v)-arg1(np)-arg2(pp)	provide.01	provide
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use.01	use
arg0(np)-v(v)-arg1(np)-arg2(pp)	move.01	move
arg0(np)-v(v)-arg1(np)-arg2(pp)	return.03	return
arg0(np)-v(v)-arg1(np)-arg2(pp)	license.01	license
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use.01	use
arg0(np)-v(v)-arg1(np)-arg2(pp)	draw.02	draw
arg0(np)-v(v)-arg1(np)-arg2(pp)	defend.01	defend
arg0(np)-v(v)-arg1(np)-arg2(pp)	portray.01	portray
arg0(np)-v(v)-arg1(np)-arg2(pp)	send.01	send
arg0(np)-v(v)-arg2(pp)-arg1(np)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	push.01	push
arg0(np)-v(v)-arg2(np)-arg1(c("np", "qp"))	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use.01	use
arg0(np)-v(v)-arg2(np)-arg1(np)	send.01	send
arg0(np)-v(v)-arg1(np)-arg2(vp)	force.01	force
arg0(np)-v(v)-arg1(np)-arg2(pp)	bring.01	bring
arg0(np)-v(v)-arg1(np)-arg2(pp)	extend.01	extend
arg0(np)-v(v)-arg1(np)-arg2(pp)	extend.01	extend
arg0(np)-v(v)-arg1(c("np", "qp"))-arg2(pp)	invest.01	invest
arg0(np)-v(v)-arg1(np)-arg2(pp)	transplant.01	transplant
arg0(np)-v(v)-arg1(np)-arg2(pp)	license.01	license
arg0(np)-v(v)-arg1(np)-arg2(pp)	supply.01	supply
arg0(np)-v(v)-arg1(np)-arg2(pp)	combine.01	combine
arg0(np)-v(v)-arg1(np)-arg2(pp)	attach.01	attach
arg0(np)-v(v)-arg1(np)-arg2(pp)	dissuade.01	dissuade
arg0(np)-v(v)-arg1(np)-arg2(pp)	drop.05	drop
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	approve.01	approve
arg0(np)-v(v)-arg2(pp)-arg1(np)	send.01	send
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(pp)	elect.01	elect
arg0(np)-v(v)-arg1(np)-arg2(vp)	urge.01	urge
arg0(np)-v(v)-arg1(np)-arg2(pp)	deny.01	deny
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	urge.01	urge
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.01	get
arg0(np)-v(v)-arg1(np)-arg2(pp)	draw.02	draw
arg1(np)-arg0(np)-v(v)-arg2(pp)	hold.04	hold
arg0(np)-v(v)-arg1(np)-arg2(sbar)	convince.01	convince
arg0(np)-v(v)-arg1(np)-arg2(pp)	keep.04	keep
arg0(np)-v(v)-arg1(np)-arg2(pp)	drive.02	drive
arg0(np)-v(v)-arg1(np)-arg2(pp)	receive.01	receive
arg0(np)-v(v)-arg1(np)-arg2(pp)	cast.01	cast
arg0(np)-v(v)-arg1(np)-arg2(v)	send.02	send
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(vp)	prompt.02	prompt
arg0(np)-v(v)-arg1(np)-arg2(pp)	price.01	price
arg0(np)-v(v)-arg1(np)-arg2(pp)	sell.01	sell
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	value.01	value
arg0(np)-v(v)-arg1(np)-arg2(pp)	sell.01	sell
arg0(np)-v(v)-arg1(np)-arg2(pp)	design.01	design
arg0(np)-v(v)-arg1(np)-arg2(pp)	draw.02	draw
arg0(np)-v(v)-arg1(np)-arg2(pp)	charge.05	charge
arg0(np)-v(v)-arg1(np)-arg2(np)	cut.02	cut
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	explain.01	explain
arg0(np)-v(v)-arg1(np)-arg2(pp)	move.01	move
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	limit.01	limit
arg0(np)-v(v)-arg1(np)-arg2(pp)	compare.01	compare
arg0(np)-v(v)-arg2(pp)-arg1(np)	put.01	put
v(v)-arg1(np)-arg2(pp)-arg0(np)	replace.01	replace
arg0(np)-v(v)-arg1(np)-arg2(pp)	shave.01	shave
arg0(np)-v(v)-arg1(np)-arg2(pp)	change.01	change
arg0(np)-v(v)-arg1(np)-arg2(pp)	replace.01	replace
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	succeed.02	succeed
arg0(np)-v(v)-arg1(np)-arg2(pp)	name.01	name
arg0(np)-v(v)-arg1(np)-arg2(vp)	force.01	force
arg0(np)-v(v)-arg1(np)-arg2(pp)	raise.02	raise
arg0(np)-v(v)-arg1(np)-arg2(pp)	attribute.01	attribute
arg0(np)-v(v)-arg1(np)-arg2(rp)	push.01	push
arg0(np)-v(v)-arg1(np)-arg2(pp)	attribute.01	attribute
arg0(np)-v(v)-arg1(np)-arg2(pp)	view.02	view
arg0(np)-v(v)-arg1(np)-arg2(pp)	reset.01	reset
arg0(np)-v(v)-arg1(np)-arg2(pp)	sell.01	sell
arg0(np)-v(v)-arg1(np)-arg2(pp)	signal.07	signal
arg0(np)-v(v)-arg1(np)-arg2(pp)	add.02	add
arg0(np)-v(v)-arg1(np)-arg2(pp)	provide.01	provide
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	leave.12	leave
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use.01	use
arg0(np)-v(v)-arg1(np)-arg2(advp)	walk.03	walk
arg0(np)-v(v)-arg1(np)-arg2(pp)	devote.01	devote
arg0(np)-v(v)-arg2(np)-arg1(np)	teach.01	teach
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.01	get
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.01	get
arg0(np)-v(v)-arg1(np)-arg2(pp)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	drag.01	drag
arg0(np)-v(v)-arg1(np)-arg2(pp)	tangle.01	tangle
arg0(np)-v(v)-arg1(np)-arg2(pp)	set.02	set
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	urge.01	urge
arg0(np)-v(v)-arg1(np)-arg2(pp)	sprinkle.01	sprinkle
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	bring.01	bring
arg0(np)-v(v)-arg1(np)-arg2(pp)	build.02	build
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	hire.01	hire
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01	tell
arg0(np)-v(v)-arg1(np)-arg2(pp)	drag.01	drag
arg0(np)-v(v)-arg1(np)-arg2(pp)	send.01	send
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.03	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	move.01	move
arg0(np)-v(v)-arg1(np)-arg2(pp)	prefer.01	prefer
arg0(np)-v(v)-arg1(np)-arg2(pp)	require.01	require
arg0(np)-v(v)-arg1(np)-arg2(pp)	commit.01	commit
arg0(np)-v(v)-arg1(np)-arg2(pp)	sell.01	sell
arg0(np)-v(v)-arg1(np)-arg2(pp)	cast.01	cast
arg0(np)-v(v)-arg1(np)-arg2(pp)	transfer.01	transfer
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01	tell
arg0(np)-v(v)-arg1(np)-arg2(pp)	buffer.01	buffer
arg0(np)-v(v)-arg1(np)-arg2(pp)	castigate.01	castigate
arg0(np)-v(v)-arg1(np)-arg2(vp)	order.01	order
arg0(np)-v(v)-arg1(np)-arg2(pp)	attach.01	attach
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.05	get
arg0(np)-v(v)-arg1(np)-arg2(pp)	distract.01	distract
arg0(np)-v(v)-arg1(np)-arg2(pp)	deter.01	deter
arg0(np)-v(v)-arg1(np)-arg2(pp)	impose.01	impose
arg0(np)-v(v)-arg1(np)-arg2(vp)	force.01	force
arg0(np)-v(v)-arg1(np)-arg2(pp)	attribute.01	attribute
arg0(np)-v(v)-arg1(np)-arg2(rb)	move.01	move
arg0(np)-v(v)-arg1(np)-arg2(pp)	recover.02	recover
arg0(np)-v(v)-arg2(np)-arg1(np)	grant.01	grant
arg0(np)-v(v)-arg1(np)-arg2(pp)	buy.01	buy
arg0(np)-v(v)-arg1(np)-arg2(pp)	spend.02	spend
arg0(np)-v(v)-arg1(np)-arg2(pp)	protect.01	protect
arg0(np)-v(v)-arg1(np)-arg2(pp)	receive.01	receive
arg0(np)-v(v)-arg1(np)-arg2(pp)	add.02	add
arg0(np)-v(v)-arg1(np)-arg2(pp)	prevent.01	prevent
arg0(np)-v(v)-arg1(np)-arg2(vp)	force.01	force
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	sell.01	sell
arg0(np)-v(v)-arg1(np)-arg2(pp)	keep.04	keep
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	persuade.01	persuade
arg0(np)-v(v)-arg1(np)-arg2(pp)	buy.01	buy
arg0(np)-v(v)-arg1(np)-arg2(pp)	combine.01	combine
arg0(np)-v(v)-arg1(np)-arg2(pp)	present.01	present
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	see.01	see
arg0(np)-v(v)-arg1(np)-arg2(pp)	fill.01	fill
arg0(np)-v(v)-arg1(np)-arg2(pp)	hold.03	hold
arg0(np)-v(v)-arg1(np)-arg2(vp)	prod.01	prod
arg0(np)-v(v)-arg1(np)-arg2(pp)	incur.01	incur
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	keep.04	keep
arg1(np)-arg0(np)-v(v)-arg2(pp)	incur.01	incur
arg0(np)-v(v)-arg1(np)-arg2(pp)	view.02	view
arg0(np)-v(v)-arg1(np)-arg2(pp)	sell.01	sell
arg0(np)-v(v)-arg1(np)-arg2(pp)	reap.01	reap
arg0(np)-v(v)-arg1(np)-arg2(pp)	base.02	base
arg0(np)-v(v)-arg1(np)-arg2(pp)	pit.01	pit
arg0(np)-v(v)-arg1(np)-arg2(v)	send.02	send
arg0(np)-v(v)-arg2(rp)-arg1(np)	throw.01	throw
arg0(np)-v(v)-arg1(np)-arg2(pp)	renounce.01	renounce
arg0(np)-v(v)-arg1(np)-arg2(pp)	link.01	link
v(v)-arg1(np)-arg2(pp)-arg0(np)	transmit.01	transmit
arg2(c("s", "vp"))-arg0(np)-v(v)-arg1(np)	use.01	use
arg0(np)-v(v)-arg2(rp)-arg1(np)	invite.01	invite
arg0(np)-v(v)-arg1(np)-arg2(pp)	import.01	import
arg0(np)-v(v)-arg2(pp)-arg1(np)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(vp)	rally.01	rally
arg0(np)-v(v)-arg1(np)-arg2(pp)	investigate.01	investigate
arg0(np)-v(v)-arg1(np)-arg2(pp)	discourage.01	discourage
arg0(np)-v(v)-arg2(np)-arg1(np)	ask.01	ask
arg0(np)-v(v)-arg1(np)-arg2(pp)	browbeat.01	browbeat
arg0(np)-v(v)-arg1(np)-arg2(pp)	expose.01	expose
arg2(np)-arg0(np)-v(v)-arg1(np)	spare.01	spare
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.03	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.03	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	hold.04	hold
arg0(np)-v(v)-arg1(np)-arg2(pp)	blame.01	blame
arg0(np)-v(v)-arg1(np)-arg2(pp)	explain.01	explain
arg0(np)-v(v)-arg1(np)-arg2(pp)	execute.02	execute
arg0(np)-v(v)-arg1(np)-arg2(pp)	execute.02	execute
arg0(np)-v(v)-arg1(np)-arg2(pp)	do.02	do
arg0(np)-v(v)-arg1(np)-arg2(pp)	stop.01	stop
arg0(np)-v(v)-arg1(np)-arg2(c("sbar", "s"))	inform.01	inform
arg0(np)-v(v)-arg1(np)-arg2(pp)	notify.01	notify
arg0(np)-v(v)-arg1(np)-arg2(rb)	take.04	take
arg0(np)-v(v)-arg1(np)-arg2(pp)	sell.01	sell
arg0(np)-v(v)-arg1(np)-arg2(pp)	show.01	show
arg0(np)-v(v)-arg1(np)-arg2(pp)	see.01	see
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	persuade.01	persuade
arg0(np)-v(v)-arg1(np)-arg2(pp)	return.02	return
arg0(np)-v(v)-arg1(np)-arg2(pp)	replace.01	replace
arg0(np)-v(v)-arg2(pp)-arg1(np)	extend.01	extend
arg0(np)-v(v)-arg1(np)-arg2(pp)	keep.04	keep
arg0(np)-v(v)-arg1(np)-arg2(pp)	view.02	view
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	order.01	order
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	order.01	order
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	order.01	order
arg0(np)-v(v)-arg1(np)-arg2(pp)	tie.01	tie
arg0(np)-v(v)-arg1(np)-arg2(pp)	intermix.01	intermix
arg0(np)-v(v)-arg1(np)-arg2(advp)	invite.01	invite
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.01	get
arg0(np)-v(v)-arg1(np)-arg2(pp)	donate.01	donate
v(v)-arg1(np)-arg2(pp)-arg0(np)	base.02	base
arg0(np)-v(v)-arg1(np)-arg2(pp)	work.07	work
arg0(np)-v(v)-arg1(np)-arg2(pp)	award.01	award
arg0(np)-v(v)-arg1(np)-arg2(vp)	encourage.01	encourage
arg0(np)-v(v)-arg1(np)-arg2(pp)	link.01	link
arg0(np)-v(v)-arg2(pp)-arg1(np)	extend.01	extend
arg0(np)-v(v)-arg1(np)-arg2(pp)	award.01	award
arg0(np)-v(v)-arg1(np)-arg2(pp)	draw.02	draw
arg0(np)-v(v)-arg1(np)-arg2(pp)	combine.01	combine
arg0(np)-v(v)-arg2(np)-arg1(np)	deliver.01	deliver
arg0(np)-v(v)-arg1(np)-arg2(pp)	pull.06	pull
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	criticize.01	criticize
arg0(np)-v(v)-arg1(np)-arg2(pp)	promote.02	promote
arg0(np)-v(v)-arg1(np)-arg2(pp)	propel.01	propel
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(jj)	turn.02	turn
arg0(np)-v(v)-arg1(np)-arg2(pp)	lose.02	lose
arg0(np)-v(v)-arg1(np)-arg2(pp)	inherit.01	inherit
arg0(np)-v(v)-arg1(np)-arg2(pp)	inherit.01	inherit
arg0(np)-v(v)-arg1(np)-arg2(pp)	transform.01	transform
arg0(np)-v(v)-arg1(np)-arg2(pp)	compare.01	compare
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	predispose.01	predispose
arg0(np)-v(v)-arg1(np)-arg2(pp)	turn.02	turn
arg0(np)-v(v)-arg1(np)-arg2(pp)	sue.02	sue
arg0(np)-v(v)-arg1(np)-arg2(pp)	halt.01	halt
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use.01	use
arg0(np)-v(v)-arg1(np)-arg2(pp)	level.03	level
arg0(np)-v(v)-arg1(np)-arg2(pp)	accuse.01	accuse
arg0(np)-v(v)-arg1(np)-arg2(pp)	preclude.01	preclude
arg0(np)-v(v)-arg2(pp)-arg1(np)	describe.01	describe
arg0(np)-v(v)-arg2(np)-arg1(np)	pay.01	pay
arg0(np)-v(v)-arg1(np)-arg2(pp)	export.01	export
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	connect.01	connect
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg2(pp)-arg1(np)	put.03	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	deliver.01	deliver
arg0(np)-v(v)-arg2(np)-arg1(np)	pay.01	pay
arg0(np)-v(v)-arg1(np)-arg2(pp)	miss.02	miss
arg0(np)-v(v)-arg1(np)-arg2(pp)	miss.02	miss
arg0(np)-v(v)-arg1(np)-arg2(pp)	shock.01	shock
arg0(np)-v(v)-arg1(np)-arg2(pp)	value.01	value
arg0(np)-v(v)-arg2(np)-arg1(np)	pay.01	pay
arg0(np)-v(v)-arg1(np)-arg2(pp)	receive.01	receive
arg0(np)-v(v)-arg1(np)-arg2(vp)	force.01	force
arg0(np)-v(v)-arg1(np)-arg2(vp)	force.01	force
arg0(np)-v(v)-arg1(np)-arg2(pp)	form.01	form
arg0(np)-v(v)-arg1(np)-arg2(pp)	lend.01	lend
arg0(np)-v(v)-arg1(np)-arg2(pp)	send.02	send
arg0(np)-v(v)-arg1(np)-arg2(pp)	acquire.01	acquire
arg0(np)-v(v)-arg1(np)-arg2(pp)	force.01	force
arg0(np)-v(v)-arg1(np)-arg2(pp)	use.01	use
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	urge.01	urge
arg0(np)-v(v)-arg1(np)-arg2(pp)	file.01	file
arg0(np)-v(v)-arg1(np)-arg2(pp)	accuse.01	accuse
arg0(np)-v(v)-arg1(np)-arg2(pp)	summon.01	summon
arg0(np)-v(v)-arg1(np)-arg2(rbr)	reduce.01	reduce
arg2(pp)-arg0(np)-v(v)-arg1(np)	cite.01	cite
arg0(np)-v(v)-arg1(np)-arg2(pp)	set.02	set
arg0(np)-v(v)-arg2(pp)-arg1(np)	transfer.01	transfer
arg0(np)-v(v)-arg2(np)-arg1(c("np", "qp"))	lend.01	lend
arg0(np)-v(v)-arg1(np)-arg2(pp)	budget.01	budget
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(np)	slash.02	slash
arg0(np)-v(v)-arg1(np)-arg2(pp)	castigate.01	castigate
v(v)-arg1(np)-arg2(pp)-arg0(np)	succeed.02	succeed
arg0(np)-v(v)-arg1(np)-arg2(pp)	name.01	name
arg0(np)-v(v)-arg1(np)-arg2(pp)	return.03	return
arg0(np)-v(v)-arg1(np)-arg2(pp)	inform.01	inform
arg0(np)-v(v)-arg1(np)-arg2(pp)	compare.01	compare
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	spend.02	spend
arg0(np)-v(v)-arg1(np)-arg2(c("sbar", "s"))	assure.01	assure
arg0(np)-v(v)-arg1(np)-arg2(pp)	prescribe.02	prescribe
arg0(np)-arg1(np)-v(v)-arg2(np)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(vp)	order.01	order
arg0(np)-v(v)-arg1(np)-arg2(pp)	yank.01	yank
arg0(np)-v(v)-arg1(np)-arg2(pp)	keep.04	keep
arg0(np)-v(v)-arg1(np)-arg2(pp)	rank.01	rank
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use.01	use
arg0(np)-v(v)-arg1(np)-arg2(pp)	accuse.01	accuse
arg0(np)-v(v)-arg2(rp)-arg1(np)	drive.02	drive
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(np)	name.01	name
arg0(np)-v(v)-arg1(np)-arg2(pp)	cast.01	cast
arg0(np)-v(v)-arg1(np)-arg2(pp)	derive.01	derive
arg0(np)-v(v)-arg1(np)-arg2(pp)	handle.01	handle
arg0(np)-v(v)-arg1(np)-arg2(pp)	exonerate.01	exonerate
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use.01	use
arg0(np)-v(v)-arg1(np)-arg2(pp)	use.01	use
arg0(np)-v(v)-arg1(np)-arg2(pp)	blame.01	blame
arg0(np)-v(v)-arg1(np)-arg2(pp)	blame.01	blame
arg0(np)-v(v)-arg1(np)-arg2(pp)	thrust.01	thrust
arg0(np)-v(v)-arg1(np)-arg2(vp)	leave.12	leave
arg0(np)-v(v)-arg1(np)-arg2(pp)	bully.01	bully
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	lose.02	lose
arg0(np)-v(v)-arg1(np)-arg2(pp)	sell.01	sell
arg0(np)-v(v)-arg1(np)-arg2(pp)	stun.01	stun
arg0(np)-v(v)-arg1(np)-arg2(pp)	blame.01	blame
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	convert.01	convert
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	drive.02	drive
arg0(np)-v(v)-arg1(np)-arg2(pp)	collect.01	collect
arg0(np)-v(v)-arg2(np)-arg1(np)	fine.01	fine
arg0(np)-v(v)-arg1(np)-arg2(vp)	force.01	force
arg0(np)-v(v)-arg1(np)-arg2(pp)	succeed.02	succeed
arg0(np)-v(v)-arg1(np)-arg2(pp)	depict.01	depict
arg0(np)-v(v)-arg1(np)-arg2(pp)	devote.01	devote
arg0(np)-v(v)-arg1(np)-arg2(pp)	summon.01	summon
arg0(np)-v(v)-arg1(np)-arg2(pp)	radio.01	radio
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01	call
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(vp)	force.01	force
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	chide.01	chide
arg0(np)-v(v)-arg1(np)-arg2(pp)	delegate.01	delegate
arg0(np)-v(v)-arg1(np)-arg2(pp)	name.01	name
arg2(np)-arg0(np)-v(v)-arg1(np)	call.01	call
arg0(np)-v(v)-arg2(np)-arg1(np)	leave.12	leave
arg0(np)-v(v)-arg1(np)-arg2(pp)	sublet.01	sublet
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	bribe.01	bribe
arg0(np)-v(v)-arg1(np)-arg2(pp)	name.01	name
arg0(np)-v(v)-arg1(np)-arg2(pp)	try.04	try
arg0(np)-v(v)-arg1(np)-arg2(pp)	estimate.01	estimate
arg0(np)-v(v)-arg1(np)-arg2(pp)	see.01	see
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use.01	use
arg0(np)-v(v)-arg1(np)-arg2(pp)	extend.02	extend
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	urge.01	urge
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(pp)	pull.06	pull
arg0(np)-v(v)-arg1(np)-arg2(pp)	provide.01	provide
arg0(np)-v(v)-arg1(np)-arg2(pp)	purchase.01	purchase
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	do.02	do
arg0(np)-v(v)-arg1(np)-arg2(pp)	bring.01	bring
arg0(np)-v(v)-arg1(np)-arg2(np)	send.01	send
